"ID","Nivel","Tema","Enunciado","A","B","C","D","Gabarito"
"11","Medio","Alocacao Dinamica","Qual funcao da linguagem C e' utilizada para MODIFICAR o tamanho de um bloco de memoria ja' alocado?","malloc()","free()","sizeof()","realloc()","D"
"12","Medio","Alocacao Dinamica","Qual e' a regra obrigatoria apos utilizar memoria alocada dinamicamente para evitar vazamentos?","Usar a funcao free() para liberar a memoria antes de encerrar.","Fechar o arquivo com fclose().","Definir todas as variaveis como void.","Reiniciar o computador apos a execucao.","A"
"13","Medio","Arquivos","Qual e' a diferenca visual entre um arquivo de TEXTO (.txt) e um BINARIO (.dat) no Bloco de Notas?","O arquivo de texto nao pode ser lido e o binario mostra letras normais.","O de texto guarda caracteres legiveis, enquanto o binario guarda dados em formato bruto (incompreensivel).","O arquivo binario e' muito maior em tamanho do que o de texto.","Arquivos de texto rodam na memoria RAM e binarios no processador.","B"
"14","Medio","Arquivos","Quais funcoes sao usadas para ler e escrever blocos de dados completos (vetores e structs) de uma vez em arquivos binarios?","fgets() e fputs()","fscanf() e fprintf()","fread() e fwrite()","fopen() e fclose()","C"
"15","Medio","Arquivos","Na funcao 'fopen(nome_arquivo, modo)', o que significam os modos de abertura 'wb' e 'rb' respectivamente?","Gravar Texto e Ler Texto","Escrita Binaria (Write Binary) e Leitura Binaria (Read Binary)","Resetar Banco e Gravar Bloco","Alocacao Dinamica e Liberacao de Memoria","B"
"16","Avancado 1","Ponteiros","Se declararmos 'int vet[5] = {10, 20, 30, 40, 50};' e um ponteiro 'int *p = vet;', qual sera' o valor de '*(p + 3) + 2'?","42","35","32","52","A"
"17","Avancado 2","Recursividade","Analise a funcao: 'int func(int n) { if(n <= 1) return 1; return n * func(n - 2); }'. Qual o retorno de 'func(5)'?","120","15","24","8","B"
"18","Avancado 3","Alocacao Dinamica","Ao utilizar a funcao realloc() para expandir um vetor, o que fazer se ela retornar NULL?","O programa deve continuar usando o ponteiro original, pois a memoria antiga permanece intacta.","O ponteiro original e' limpo automaticamente, exigindo novo malloc.","Significa que a memoria Heap foi reiniciada e os dados foram expirados.","O programador deve chamar a funcao free() passando o ponteiro nulo.","A"
"19","Avancado 4","Arquivos","Apos gravar 3 structs do tipo 'Aluno' com fwrite(), como ler a SEGUNDA estrutura sem ler a primeira?","fseek(arq, sizeof(Aluno), SEEK_SET) seguida de fread()","ftell(arq) multiplicada por sizeof(Aluno)","fseek(arq, 2 * sizeof(Aluno), SEEK_CUR) seguida de fwrite()","rewind(arq) somado diretamente ao ponteiro Aluno","A"
"20","Avancado 5","Structs","Uma estrutura 'Bloco' que contem um ponteiro 'Bloco *proximo;' para si mesma e' chamada de que?","Estrutura estatica, fundamental para matrizes.","Estrutura autorreferenciada, fundamental para listas encadeadas.","Definicao de macro, fundamental para evitar Include Guards.","Alocacao por copia implicita, fundamental para arquivos texto.","B"
